compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.128, neg: 0.0, neu: 0.0, pos: 1.0, 
compound: -0.0516, neg: 0.098, neu: 0.902, pos: 0.0, 
compound: 0.4588, neg: 0.0, neu: 0.636, pos: 0.364, 
compound: -0.0495, neg: 0.101, neu: 0.839, pos: 0.059, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: -0.3632, neg: 0.201, neu: 0.799, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0772, neg: 0.09, neu: 0.758, pos: 0.152, 
compound: -0.2732, neg: 0.259, neu: 0.741, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: -0.2975, neg: 0.24, neu: 0.76, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.6369, neg: 0.0, neu: 0.829, pos: 0.171, 
compound: -0.1695, neg: 0.122, neu: 0.878, pos: 0.0, 

compound: 0.4404, neg: 0.0, neu: 0.879, pos: 0.121, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.4588, neg: 0.0, neu: 0.769, pos: 0.231, 
compound: 0.2732, neg: 0.0, neu: 0.851, pos: 0.149, 
compound: -0.5136, neg: 0.302, neu: 0.698, pos: 0.0, 
compound: 0.296, neg: 0.0, neu: 0.862, pos: 0.138, 
compound: -0.6103, neg: 0.162, neu: 0.711, pos: 0.127, 
compound: -0.2831, neg: 0.234, neu: 0.537, pos: 0.229, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.5106, neg: 0.0, neu: 0.875, pos: 0.125, 
compound: 0.0428, neg: 0.089, neu: 0.746, pos: 0.166, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.1027, neg: 0.141, neu: 0.704, pos: 0.156, 
compound: -0.5983, neg: 0.15, neu: 0.85, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.3818, neg: 0.0, neu: 0.852, pos: 0.148, 
compound: 0.2732, neg: 0.144, neu: 0.68, pos: 0.176, 
compound: -0.2023, neg: 0.087, neu: 0.913, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.4926, neg: 0.0, neu: 0.892, pos: 0.108, 
compound: 0.6597, neg: 0.0, neu: 0.565, pos: 0.435, 
compound: 0.5574, neg: 0.0, neu: 0.705, pos: 0.295, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.3987, neg: 0.0, neu: 0.956, pos: 0.044, 
compound: 0.807, neg: 0.0, neu: 0.783, pos: 0.217, 
compound: 0.3987, neg: 0.0, neu: 0.877, pos: 0.123, 
compound: 0.765, neg: 0.0, neu: 0.714, pos: 0.286, 
compound: 0.9097, neg: 0.0, neu: 0.737, pos: 0.263, 
compound: 0.4404, neg: 0.0, neu: 0.782, pos: 0.218, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.1027, neg: 0.0, neu: 0.938, pos: 0.062, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.5984, neg: 0.0, neu: 0.836, pos: 0.164, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
